age,gender,education,income,bureau_score,util_last_m1,util_last_m2,util_last_m3,util_current,loan_amt,loan_to_income_ratio,active_loans,default
67,male,university,1747,507,0.438,0.301,0.17,0.351,1669,0.955,7,0
27,male,others,1466,552,0.341,0.28,0.162,0.162,1872,1.277,8,0
64,male,university,1843,641,0.312,0.27,0.52,0,1029,0.558,1,0
28,male,high school,1559,698,0.247,0.165,0.198,0.292,1164,0.747,2,0
67,female,university,1645,634,0.125,0.164,0.481,0.098,995,0.605,5,0
55,female,high school,1034,636,0.585,0.387,0.276,0.457,1646,1.592,4,0
34,female,university,393,502,0.322,0.128,0.165,0.216,194,0.494,7,0
37,female,high school,507,577,0.138,0.261,0.495,0.167,228,0.45,4,0
56,male,university,1868,644,0.126,0.413,0.227,0.087,704,0.377,8,0
60,male,university,705,741,0.27,0.602,0.296,0.811,1327,1.882,0,1
24,female,university,480,671,0.22,0.56,0.393,0.711,189,0.394,5,1
22,female,university,874,585,0.463,0.111,0.249,0.271,60,0.069,6,0
26,male,graduate school,1132,545,0.435,0.117,0.156,0.432,923,0.815,1,1
62,female,graduate school,1662,589,0.314,0.026,0.315,0.34,633,0.381,5,0
24,female,graduate school,914,685,0.135,0.138,0.335,0.356,628,0.687,0,0
49,male,high school,807,655,0.281,0.235,0.079,0.226,786,0.974,2,0
38,female,university,682,736,0.099,0.198,0.481,0.43,677,0.993,1,1
46,male,university,1446,641,0.39,0.299,0.291,0.535,74,0.051,6,1
64,male,high school,1972,508,0.14,0.401,0.207,0.431,855,0.434,10,0
54,female,university,316,614,0.282,0.461,0.377,0,1946,6.158,8,0
30,male,university,1167,653,0.182,0.229,0.43,0.291,1026,0.879,2,0
56,female,graduate school,391,629,0.121,0.323,0.076,0.56,1169,2.99,2,1
34,male,others,987,574,0.089,0.139,0.064,0.243,738,0.748,8,1
51,female,high school,817,580,0.384,0.312,0.599,0.212,1607,1.967,8,0
68,female,high school,715,627,0.027,0.17,0.062,0,1308,1.829,7,0
35,female,university,1753,533,0.248,0.258,0.077,0.214,244,0.139,2,0
28,male,high school,506,646,0.434,0.524,0.28,0,457,0.903,9,0
34,male,graduate school,731,538,0.123,0.353,0.144,0.281,773,1.057,5,0
43,female,graduate school,321,709,0.26,0.353,0.472,0.352,1007,3.137,3,0
60,male,graduate school,848,512,0.276,0.131,0.18,0.046,704,0.83,5,1
41,female,university,791,632,0.114,0.233,0.307,0.475,862,1.09,7,1
36,female,university,1377,549,0.293,0.059,0.4,0.203,414,0.301,4,0
65,male,university,1069,522,0.219,0.293,0.167,0.064,1626,1.521,3,1
38,female,graduate school,1760,621,0.423,0.156,0.15,0.471,951,0.54,9,0
67,male,university,1675,619,0.136,0.332,0.366,0.334,867,0.518,1,1
44,female,high school,1392,587,0.232,0.435,0.054,0.155,418,0.3,0,0
46,male,university,258,656,0.551,0.453,0.268,0.134,1883,7.298,10,0
45,female,high school,500,611,0.082,0.265,0.128,0.13,1779,3.558,0,0
65,female,university,752,610,0.227,0.1,0.43,0.067,175,0.233,10,0
61,male,high school,1773,571,0.081,0.229,0.348,0.364,146,0.082,8,0
49,female,university,1340,653,0.179,0.561,0.474,0.111,1663,1.241,8,0
35,female,university,1350,706,0.262,0.569,0.218,0.579,1517,1.124,9,0
65,male,university,1628,556,0.307,0.111,0.396,0.509,185,0.114,10,1
21,female,university,598,500,0.203,0.214,0.333,0.216,1155,1.931,1,0
45,male,high school,714,655,0.431,0.024,0.227,0.384,1978,2.77,0,0
27,female,university,1004,612,0.084,0.361,0.456,0.513,1312,1.307,10,0
29,male,university,697,561,0.205,0.636,0.282,0.227,426,0.611,10,0
44,female,high school,1141,546,0.286,0.123,0.278,0.334,1770,1.551,5,1
21,female,university,727,737,0.39,0.249,0.08,0.397,507,0.697,4,0
64,female,university,597,577,0.179,0.191,0.032,0,1612,2.7,1,0
28,male,university,1488,605,0.112,0.641,0.454,0.609,1687,1.134,4,0
44,male,university,1974,725,0.452,0.392,0.296,0.491,1753,0.888,1,1
31,male,university,1486,686,0.23,0.292,0.415,0.52,251,0.169,1,0
37,male,university,1621,658,0.044,0.289,0.41,0.383,1284,0.792,6,0
28,female,others,1869,697,0.277,0.25,0.224,0.502,540,0.289,10,1
55,female,university,1948,625,0.463,0.363,0.164,0.396,1997,1.025,7,0
55,male,university,1750,676,0.136,0.221,0.216,0.094,1022,0.584,10,0
53,male,university,635,504,0.308,0.295,0.491,0.325,1290,2.031,8,1
25,male,others,1039,530,0.091,0.372,0.132,0.109,1994,1.919,4,0
62,female,high school,559,536,0.254,0.312,0.28,0.206,943,1.687,4,0
59,male,university,1352,578,0.162,0.673,0.258,0.547,1467,1.085,7,1
61,male,high school,1063,642,0.866,0.39,0.542,0.587,720,0.677,0,0
48,female,university,833,551,0.089,0.3,0.155,0.217,928,1.114,4,0
27,female,university,1464,734,0.458,0.309,0.391,0,950,0.649,10,0
29,male,graduate school,1850,696,0.366,0.27,0.396,0.394,1919,1.037,10,1
28,female,university,1932,719,0.608,0.222,0.454,0.47,896,0.464,10,1
32,male,university,1445,724,0.523,0.549,0.19,0.458,461,0.319,8,1
54,female,others,413,638,0.154,0.026,0.28,0,1146,2.775,10,0
53,male,university,1115,542,0.601,0.229,0.256,0.259,1563,1.402,3,0
68,male,others,791,697,0.08,0.395,0.495,0.013,633,0.8,3,0
43,male,university,1998,650,0.422,0.262,0.2,0.168,413,0.207,8,1
44,male,university,334,539,0.133,0.313,0.107,0.153,190,0.569,6,1
57,female,university,953,562,0.105,0.372,0.505,0.343,632,0.663,1,0
55,female,graduate school,585,629,0.417,0.48,0.431,0.38,1579,2.699,1,0
64,female,university,1526,706,0.08,0.362,0.44,0.236,1269,0.832,7,1
60,female,graduate school,1510,586,0.505,0.583,0.456,0.461,1990,1.318,3,0
42,male,university,1785,713,0.131,0.05,0.46,0,1730,0.969,9,0
47,male,university,1412,572,0.345,0.515,0.143,0.202,1638,1.16,4,0
55,female,high school,1520,674,0.114,0.178,0.152,0.303,1075,0.707,0,1
21,female,university,1749,603,0.098,0.26,0.418,0.513,210,0.12,3,0
55,female,graduate school,588,657,0.536,0.394,0.429,0.433,1052,1.789,5,1
57,female,university,1682,515,0.385,0.17,0.589,0.474,979,0.582,6,0
67,female,others,943,558,0.275,0.361,0.245,0.221,1052,1.116,10,0
34,male,high school,1484,737,0.351,0.317,0.164,0.158,1977,1.332,5,0
23,male,university,903,546,0.136,0.113,0.207,0.023,1822,2.018,1,0
21,male,university,1124,615,0.213,0.254,0.031,0.604,535,0.476,10,0
25,female,graduate school,1938,657,0.547,0.135,0.217,0.107,1037,0.535,6,0
46,female,others,972,608,0.53,0.411,0.257,0.52,1328,1.366,10,1
34,female,university,1336,508,0.269,0.39,0.123,0.018,1891,1.415,3,0
59,female,university,1063,564,0.188,0.125,0.427,0.698,690,0.649,6,1
47,male,university,1259,558,0.188,0.524,0.316,0.535,1702,1.352,9,0
29,male,graduate school,278,601,0.256,0.218,0.184,0.263,655,2.356,1,1
35,female,others,1498,691,0.177,0.382,0.031,0.533,862,0.575,2,1
35,male,graduate school,1501,635,0.197,0.338,0.187,0.288,1105,0.736,4,0
46,male,university,873,622,0.589,0.551,0.228,0.618,1135,1.3,3,1
62,female,university,511,679,0.081,0.859,0.108,0.593,912,1.785,4,0
33,female,high school,1752,645,0.43,0.384,0.379,0.366,1397,0.797,9,0
52,female,high school,403,590,0.334,0.415,0.208,0.318,725,1.799,10,0
59,female,university,1184,709,0.432,0.137,0.246,0.295,1728,1.459,9,0
69,female,university,216,595,0.178,0.371,0.063,0,425,1.968,3,0
52,female,high school,1937,557,0.207,0.166,0.05,0.073,163,0.084,2,0
24,male,graduate school,675,676,0.57,0.519,0.401,0.402,1151,1.705,4,1
50,male,university,1734,531,0.504,0.429,0.199,0.56,994,0.573,2,0
57,female,university,1216,744,0.644,0.439,0.185,0.194,67,0.055,6,0
43,male,others,409,547,0.384,0.238,0.115,0.402,188,0.46,4,0
59,female,university,698,544,0.265,0.383,0.219,0.363,1022,1.464,4,0
65,female,high school,1625,681,0.294,0.16,0.434,0.003,385,0.237,8,0
35,female,university,628,599,0.34,0.222,0.053,0.343,1216,1.936,4,1
63,female,university,1301,599,0.338,0.264,0.32,0.438,1276,0.981,4,0
49,male,university,1791,712,0.365,0.214,0.293,0.188,1980,1.106,0,0
56,female,university,1303,545,0.491,0.256,0.16,0.293,1834,1.408,2,0
33,male,university,1529,723,0.133,0.195,0.089,0,524,0.343,0,0
52,female,university,257,658,0.232,0.314,0.116,0.563,488,1.899,5,0
27,female,graduate school,1753,664,0.151,0.069,0.161,0.103,1516,0.865,1,1
42,female,high school,1431,643,0.17,0.33,0.201,0.233,885,0.618,4,1
48,male,others,1734,673,0.223,0.084,0.212,0.211,112,0.065,8,1
22,female,university,1358,625,0.581,0.229,0.362,0.497,1965,1.447,5,0
62,female,university,1193,545,0.367,0.276,0.201,0.364,234,0.196,6,0
65,female,graduate school,721,705,0.453,0.196,0.176,0.295,1227,1.702,8,1
26,male,university,780,620,0.692,0.217,0.1,0.27,1984,2.544,5,1
48,male,high school,1098,587,0.373,0.25,0.151,0.327,1435,1.307,10,0
48,male,graduate school,1306,716,0.13,0.229,0.381,0.367,894,0.685,10,1
64,female,graduate school,820,560,0.498,0.525,0.592,0.669,903,1.101,6,1
64,male,high school,1267,545,0.222,0.27,0.155,0.33,929,0.733,2,0
40,female,university,1706,678,0.286,0.36,0.243,0.337,665,0.39,3,0
50,male,graduate school,1165,689,0.085,0.774,0.359,0.57,134,0.115,2,0
31,male,university,1109,662,0.176,0.252,0.468,0.048,1724,1.555,5,0
48,female,university,1867,580,0.567,0.358,0.238,0.099,235,0.126,4,0
45,male,university,692,737,0.6,0.133,0.111,0,1907,2.756,0,0
59,female,high school,698,669,0.252,0.529,0.299,0.422,1582,2.266,9,0
53,female,high school,1241,544,0.246,0.158,0.241,0.614,1532,1.234,9,1
21,male,university,804,617,0.402,0.174,0.347,0.531,686,0.853,6,0
47,female,others,1147,695,0.242,0.255,0.698,0.35,395,0.344,1,0
33,female,university,493,702,0.225,0.447,0.532,0.427,1498,3.039,4,1
61,male,high school,1371,546,0.266,0.533,0.426,0.249,1702,1.241,8,0
23,male,university,1695,706,0.127,0.201,0.232,0.434,1216,0.717,3,1
59,female,high school,371,657,0.419,0.09,0.116,0.223,805,2.17,5,1
26,male,others,1786,651,0.184,0.103,0.458,0.187,815,0.456,3,0
28,female,graduate school,730,693,0.125,0.103,0.316,0.084,510,0.699,10,1
47,female,others,1343,670,0.421,0.757,0.121,0.495,1024,0.762,6,1
29,male,high school,1960,661,0.263,0.15,0.462,0.026,1513,0.772,8,0
57,male,high school,265,522,0.163,0.322,0.349,0.138,1448,5.464,10,0
53,male,university,340,560,0.233,0.219,0.325,0.448,100,0.294,5,1
62,male,high school,645,722,0.63,0.32,0.256,0,688,1.067,9,0
64,female,high school,1729,664,0.307,0.573,0.031,0.019,279,0.161,9,0
44,female,university,388,512,0.234,0.486,0.175,0.499,1763,4.544,10,0
35,male,others,357,724,0.489,0.599,0.211,0.672,1220,3.417,2,1
52,male,graduate school,1833,698,0.082,0.394,0.324,0.493,1067,0.582,10,0
52,female,graduate school,869,723,0.243,0.022,0.082,0.114,989,1.138,7,0
44,female,university,445,506,0.202,0.366,0.195,0.3,1565,3.517,8,0
61,female,university,1055,669,0.553,0.318,0.065,0.486,124,0.118,10,0
69,female,university,1143,665,0.313,0.267,0.178,0.17,1405,1.229,0,0
69,male,graduate school,947,679,0.171,0.261,0.553,0.289,1672,1.766,10,1
32,female,others,1256,671,0.159,0.151,0.699,0.087,562,0.447,7,0
59,female,graduate school,1584,691,0.143,0.113,0.149,0,911,0.575,5,0
22,male,graduate school,1976,640,0.049,0.183,0.355,0.266,1112,0.563,0,0
23,female,graduate school,529,715,0.198,0.336,0.279,0.244,1992,3.766,8,0
69,female,university,711,527,0.294,0.187,0.255,0.129,929,1.307,10,0
57,male,others,1049,595,0.201,0.496,0.057,0.505,1373,1.309,10,1
69,male,university,1294,606,0.113,0.106,0.451,0.067,1094,0.845,0,0
37,male,high school,1536,709,0.456,0.379,0.089,0.224,461,0.3,7,0
69,female,graduate school,1951,597,0.572,0.152,0.043,0.262,444,0.228,0,1
22,female,university,278,611,0.476,0.197,0.246,0.279,1737,6.248,7,0
22,male,university,368,725,0.219,0.198,0.2,0.158,1725,4.688,1,0
48,male,university,1009,742,0.179,0.392,0.362,0.082,1773,1.757,1,0
43,female,graduate school,1182,729,0.284,0.206,0.313,0.357,628,0.531,9,0
57,male,university,379,500,0.623,0.283,0.137,0.335,1746,4.607,7,0
52,male,university,1851,542,0.35,0.01,0.23,0.275,126,0.068,3,0
53,male,high school,459,741,0.236,0.303,0.163,0.255,1318,2.871,6,1
21,female,university,1709,541,0.323,0.62,0.538,0.871,347,0.203,9,1
39,female,graduate school,1995,594,0.229,0.203,0.519,0.539,1373,0.688,9,0
22,female,university,1228,677,0.269,0.286,0.319,0.076,874,0.712,9,0
64,female,graduate school,496,687,0.295,0.266,0.577,0.826,1729,3.486,4,0
46,female,high school,819,628,0.521,0.074,0.188,0.18,1157,1.413,1,0
52,female,university,1054,550,0.585,0.115,0.168,0.177,1297,1.231,10,0
26,male,graduate school,559,643,0.183,0.312,0.21,0.131,264,0.472,10,0
52,female,others,316,749,0.153,0.368,0.203,0.146,751,2.377,1,0
24,female,university,556,666,0.255,0.157,0.438,0.155,955,1.718,7,0
31,male,graduate school,1156,514,0.339,0.504,0.238,0.448,1264,1.093,2,0
37,female,university,638,624,0.563,0.286,0.257,0.494,1073,1.682,9,1
58,female,university,1554,660,0.142,0.19,0.746,0.325,1352,0.87,7,1
44,male,high school,1748,586,0.136,0.433,0.016,0.07,514,0.294,2,0
25,male,high school,1877,552,0.037,0.165,0.37,0.222,995,0.53,4,0
54,male,others,1411,732,0.43,0.323,0.038,0.248,121,0.086,2,0
26,female,university,1504,725,0.288,0.335,0.49,0.037,565,0.376,0,0
42,male,university,1734,644,0.318,0.312,0.37,0.479,1913,1.103,8,1
31,female,high school,1689,588,0.257,0.327,0.047,0.164,1449,0.858,4,0
68,female,graduate school,1338,747,0.128,0.297,0.135,0.394,200,0.149,2,1
36,female,university,1459,605,0.268,0.202,0.362,0.048,1107,0.759,3,0
53,female,university,1561,505,0.51,0.188,0.36,0.374,1895,1.214,5,1
29,male,graduate school,721,530,0.051,0.333,0.11,0.332,530,0.735,7,0
26,male,university,398,696,0.282,0.137,0.344,0.44,319,0.802,1,1
36,female,high school,1987,731,0.076,0.612,0.088,0.206,518,0.261,1,0
49,male,high school,1273,539,0.174,0.028,0.306,0,565,0.444,2,0
23,female,graduate school,1365,657,0.143,0.545,0.156,0.318,523,0.383,5,0
40,female,graduate school,1751,568,0.205,0.17,0.56,0.147,1923,1.098,8,0
56,female,university,1737,703,0.173,0.236,0.209,0.071,1119,0.644,8,0
39,male,high school,869,634,0.551,0.242,0.067,0.093,1622,1.867,9,0
46,female,graduate school,1253,736,0.292,0.306,0.271,0.539,1778,1.419,8,1
23,female,high school,1305,512,0.502,0.208,0.238,0.214,239,0.183,8,0
39,male,graduate school,230,740,0.329,0.276,0.579,0.412,1652,7.183,5,1
40,male,university,1971,503,0.108,0.331,0.452,0.077,1676,0.85,10,0
52,male,university,1207,677,0.393,0.66,0.294,0.645,1900,1.574,9,1
27,male,high school,532,733,0.542,0.159,0.093,0.291,641,1.205,2,1
61,female,university,859,502,0.866,0.172,0.3,0.699,616,0.717,4,1
53,male,university,376,639,0.519,0.414,0.07,0.18,1493,3.971,5,0
60,female,university,569,564,0.542,0.321,0.405,0.422,1608,2.826,8,0
59,male,high school,746,526,0.308,0.419,0.321,0.226,593,0.795,8,0
38,male,high school,734,606,0.076,0.524,0.091,0.12,1791,2.44,2,0
60,male,graduate school,1329,549,0.453,0.715,0.359,0.662,172,0.129,6,1
21,male,high school,296,704,0.161,0.418,0.659,0.434,88,0.297,8,0
31,male,university,429,516,0.141,0.619,0.541,0.267,1575,3.671,2,0
48,male,graduate school,426,699,0.127,0.449,0.126,0,1980,4.648,9,0
45,female,university,570,531,0.055,0.129,0.463,0.216,1390,2.439,4,0
43,male,graduate school,1323,711,0.118,0.059,0.355,0.118,692,0.523,0,0
51,male,high school,1668,678,0.113,0.133,0.421,0.45,192,0.115,8,1
50,male,high school,1691,516,0.206,0.23,0.442,0.54,1963,1.161,9,1
62,male,graduate school,254,533,0.594,0.115,0.271,0.429,57,0.224,0,0
55,female,university,1418,534,0.114,0.316,0.065,0.274,814,0.574,3,0
27,male,high school,1743,726,0.049,0.122,0.23,0.018,139,0.08,3,0
36,male,others,623,729,0.424,0.552,0.231,0.469,1413,2.268,7,1
46,male,university,514,733,0.483,0.706,0.657,0.769,1635,3.181,4,0
68,male,others,1351,651,0.233,0.303,0.102,0.166,115,0.085,2,0
69,female,university,231,681,0.162,0.281,0.365,0.441,850,3.68,0,1
22,male,university,292,645,0.211,0.227,0.246,0.176,226,0.774,0,0
21,female,high school,718,549,0.488,0.032,0.258,0.249,450,0.627,3,0
68,male,university,1481,673,0.515,0.136,0.224,0.436,346,0.234,6,0
32,female,university,1052,675,0.301,0.216,0.496,0.053,580,0.551,7,1
25,female,university,1443,602,0.393,0.044,0.151,0.108,1304,0.904,0,1
57,male,high school,951,532,0.539,0.105,0.201,0.767,1533,1.612,7,1
52,male,high school,1329,740,0.174,0.121,0.453,0,60,0.045,4,0
29,female,university,1771,714,0.364,0.301,0.118,0.465,109,0.062,5,1
61,female,university,615,588,0.489,0.535,0.183,0.272,70,0.114,7,0
55,male,university,756,728,0.405,0.068,0.093,0.002,1501,1.985,9,0
39,female,university,1532,654,0.306,0.154,0.539,0.246,1932,1.261,0,0
68,female,university,565,628,0.171,0.558,0.081,0,1224,2.166,0,0
36,female,high school,1744,584,0.214,0.053,0.085,0,1664,0.954,7,0
23,male,university,1682,558,0.272,0.245,0.245,0.482,558,0.332,7,1
40,female,university,798,740,0.468,0.167,0.099,0.518,647,0.811,3,1
44,female,graduate school,1593,509,0.143,0.036,0.398,0,574,0.36,10,0
53,female,university,530,722,0.065,0.653,0.439,0.343,735,1.387,4,1
44,male,others,888,735,0.248,0.38,0.145,0.332,358,0.403,8,0
31,male,university,1865,652,0.6,0.726,0.383,0.718,1770,0.949,1,0
69,female,graduate school,1930,711,0.346,0.241,0.216,0.549,1768,0.916,0,1
28,male,university,210,556,0.28,0.408,0.381,0.279,1084,5.162,6,0
56,female,university,1017,565,0.059,0.525,0.504,0.366,1666,1.638,9,0
58,male,graduate school,1730,618,0.239,0.301,0.149,0,192,0.111,3,0
60,male,university,618,611,0.417,0.337,0.21,0.22,1241,2.008,6,0
40,female,university,1345,514,0.159,0.163,0.205,0.09,1683,1.251,10,0
55,male,university,1110,655,0.617,0.123,0.246,0.191,704,0.634,2,0
68,male,university,1458,512,0.223,0.316,0.414,0.422,288,0.198,10,0
45,male,university,1554,613,0.191,0.156,0.107,0.568,1342,0.864,3,1
55,female,others,1766,743,0.101,0.568,0.291,0.095,974,0.552,9,0
45,male,university,547,617,0.262,0.347,0.237,0.242,726,1.327,7,0
49,male,university,1157,641,0.342,0.509,0.713,0.501,416,0.36,0,0
38,female,university,611,613,0.145,0.094,0.337,0.497,294,0.481,6,0
66,male,university,1447,693,0.064,0.626,0.427,0.307,1004,0.694,6,1
38,male,high school,352,533,0.245,0.415,0.192,0.305,1121,3.185,5,0
22,male,university,1435,726,0.171,0.37,0.263,0.277,491,0.342,10,0
55,male,high school,291,600,0.401,0.355,0.153,0.499,603,2.072,0,0
36,male,graduate school,530,524,0.29,0.476,0.321,0.57,1321,2.492,10,0
61,female,university,1690,611,0.13,0.156,0.728,0.242,59,0.035,9,1
56,female,high school,1864,553,0.122,0.515,0.22,0.174,1985,1.065,3,0
53,male,university,1154,706,0.049,0.207,0.338,0.323,1506,1.305,7,1
24,male,university,1932,511,0.291,0.598,0.508,0.731,153,0.079,1,0
53,male,university,1169,625,0.51,0.42,0.081,0.013,1934,1.654,9,0
34,female,high school,753,636,0.237,0.083,0.354,0.147,643,0.854,10,0
41,female,graduate school,1129,749,0.106,0.201,0.389,0.23,661,0.585,1,0
68,male,high school,1451,530,0.043,0.089,0.29,0,999,0.688,4,0
40,male,graduate school,393,577,0.148,0.697,0.159,0.228,809,2.059,0,0
28,female,high school,729,720,0.485,0.478,0.273,0.428,807,1.107,7,0
27,male,university,1044,552,0.153,0.485,0.172,0.079,148,0.142,9,0
23,female,high school,1466,611,0.126,0.306,0.613,0.068,1775,1.211,3,0
37,female,university,1612,542,0.517,0.222,0.193,0.368,1957,1.214,5,1
53,male,others,1499,665,0.198,0.251,0.379,0.344,1034,0.69,5,0
68,female,graduate school,1673,541,0.328,0.173,0.128,0.066,650,0.389,3,0
32,male,graduate school,838,623,0.398,0.206,0.114,0.337,653,0.779,4,1
42,male,university,1810,699,0.246,0.179,0.135,0,1704,0.941,10,0
42,male,graduate school,1797,675,0.391,0.268,0.083,0.348,1835,1.021,5,1
66,male,graduate school,677,566,0.213,0.5,0.202,0.577,918,1.356,0,0
50,male,others,679,565,0.258,0.233,0.173,0.47,220,0.324,5,1
58,male,others,487,643,0.203,0.17,0.512,0.301,1376,2.825,6,0
58,female,university,897,582,0.094,0.305,0.262,0.441,1860,2.074,5,1
65,female,others,1913,593,0.325,0.507,0.383,0.37,1218,0.637,3,0
28,female,university,1901,604,0.437,0.47,0.118,0.532,135,0.071,5,0
47,female,university,894,643,0.418,0.386,0.416,0.201,805,0.9,1,0
47,male,high school,739,530,0.503,0.118,0.216,0.279,1483,2.007,0,0
54,female,university,529,617,0.134,0.131,0.223,0.473,1920,3.629,5,1
41,female,others,669,685,0.437,0.2,0.054,0.311,1006,1.504,0,0
50,female,university,1982,527,0.336,0.25,0.235,0.435,462,0.233,9,1
53,male,university,1048,503,0.099,0.419,0.187,0.33,751,0.717,3,0
48,female,graduate school,733,637,0.432,0.268,0.096,0.225,888,1.211,5,0
67,male,graduate school,666,678,0.105,0.39,0.111,0.452,899,1.35,5,0
53,female,graduate school,1176,736,0.093,0.154,0.333,0.02,1699,1.445,7,0
25,male,others,619,517,0.149,0.097,0.718,0.169,1276,2.061,10,0
68,male,high school,1831,546,0.106,0.337,0.352,0.345,1961,1.071,0,1
39,female,high school,1345,659,0.299,0.523,0.5,0.801,1209,0.899,0,1
24,male,university,961,657,0.442,0.387,0.3,0.027,1583,1.647,10,0
55,male,university,1205,663,0.218,0.451,0.349,0.102,1833,1.521,7,0
69,female,graduate school,1090,508,0.501,0.193,0.753,0.514,1637,1.502,4,1
37,female,university,507,663,0.035,0.047,0.398,0.253,684,1.349,4,0
64,female,university,1123,528,0.426,0.393,0.105,0.383,1902,1.694,9,0
48,male,high school,533,643,0.238,0.48,0.25,0.378,152,0.285,2,1
50,male,university,1153,591,0.256,0.233,0.123,0.093,985,0.854,9,0
49,male,graduate school,1643,648,0.212,0.284,0.116,0.159,970,0.59,9,0
66,female,graduate school,1549,563,0.123,0.408,0.339,0.314,895,0.578,8,0
26,male,graduate school,1221,610,0.107,0.246,0.377,0.583,659,0.54,9,1
55,male,university,1872,747,0.089,0.404,0.744,0.681,59,0.032,7,0
61,male,others,988,693,0.372,0.279,0.182,0.67,1153,1.167,9,1
57,male,university,1031,623,0.202,0.519,0.624,0.473,552,0.535,7,0
44,male,high school,1043,686,0.207,0.248,0.341,0.1,1840,1.764,2,0
49,male,university,1796,609,0.199,0.149,0.257,0.026,1381,0.769,10,0
69,male,university,449,726,0.474,0.509,0.307,0.475,1870,4.165,8,0
66,female,graduate school,1318,617,0.018,0.372,0.222,0.31,1771,1.344,4,0
51,female,high school,1519,655,0.339,0.211,0.219,0.585,484,0.319,0,1
